Abbrev	corrected	Genus	Spec	Family	Order	Class	Phylum	Name	hymenia	morf	Lifestyle	originalTrait	Clade	dataset	0
Cananz1	ballistospory	Cantharellus	anzutake	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Cantharellus anzutake C23 v1.0	cantherelloid	pileostipitate		ballistospory	0	JGI202304	60
Hydru2	ballistospory	Hydnum	rufescens	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Hydnum rufescens UP504 v2.0	hydnoid	pileostipitate		ballistospory	0	JGI202304	61
Neole1	ballistospory	Neolentinus	lepideus	Gloeophyllaceae	Gloeophyllales	Agaricomycetes	Basidiomycota	Neolentinus lepideus v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	62
Helsul1	ballistospory	Heliocybe	sulcata	NA	Gloeophyllales	Agaricomycetes	Basidiomycota	Heliocybe sulcata OMC1185 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	63
Ricmel1	ballistospory	Rickenella	mellea	NA	Hymenochaetales	Agaricomycetes	Basidiomycota	Rickenella mellea v1.0 (SZMC22713)	lamellate	pileostipitate		ballistospory	0	JGI202304	64
Panru1	ballistospory	Panus	rudis	Panaceae	Polyporales	Agaricomycetes	Basidiomycota	Panus rudis PR-1116 ss-1 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	65
Polar1	ballistospory	Polyporus	arcularius	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Polyporus arcularius v1.0	poroid	pileostipitate	WoodDF	ballistospory	0	PL109	66
Polsqu1	ballistospory	Polyporus	squamosus	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Polyporus squamosus CCBS 676 v1.0	poroid	pileostipitate		ballistospory	0	JGI202304	67
Aurvu1	ballistospory	Auriscalpium	vulgare	Auriscalpiaceae	Russulales	Agaricomycetes	Basidiomycota	Auriscalpium vulgare FP105234-Sp v1.0	hydnoid	pileostipitate		ballistospory	0	JGI202304	68
Lacdel1	ballistospory	Lactarius	deliciosus	Russulaceae	Russulales	Agaricomycetes	Basidiomycota	Lactarius deliciosus 48 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	69
Lachat1	ballistospory	Lactarius	hatsudake	Russulaceae	Russulales	Agaricomycetes	Basidiomycota	Lactarius hatsudake 109 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	70
Lacqui1	ballistospory	Lactarius	quietus	Russulaceae	Russulales	Agaricomycetes	Basidiomycota	Lactarius quietus S23C v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	71
Lacviv1	ballistospory	Lactarius	vividus	Russulaceae	Russulales	Agaricomycetes	Basidiomycota	Lactarius vividus 141 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	72
Lacsub1	ballistospory	Lactifluus	cf.	Russulaceae	Russulales	Agaricomycetes	Basidiomycota	Lactifluus cf. subvellereus BPL653 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	73
